id;name;ETH;GEN;others
0x0b93ba560283350d4216f29dc57e15df38d0eace;CuraDAO;1065.22;39.11;634.06
0x294f999356ed03347c7a23bcbcf8d33fa41dc830;Genesis Alpha;120.46;0.12;84.65
0x2b8c70fffda7f3d7667f7cfede1429313886329c;ETHGlobal;0.14;0.03;0.0
0x3324b516df92e78463d8b0616dd146cf6c58b0b9;efxDAO;0.32;27.34;0.04
0x39757e7cdb7022c3829195d57b29428d79593c9d;Trips Community DAO;15.81;0.0;0.0
0x440583455bcd85ab2bd429c015d3aabcae135f0a;PolkaDAO;158.3;69.3;2985.73
0x45cf7d5c503b6417d570929368b8f4c4567ad9eb;BuffiDAO;0.0;0.0;0.0
0x519b70055af55a007110b4ff99b0ea33071c720a;dxDAO;72.13;8758.62;340.86
0x5f667f138d6c5559a0966c241c867feeaea4c28c;HackerDAO A;0.0;0.0;0.0
0x61151f7ef32c920794ed89b2545f1672266d6420;The General Store DAO;0.0;14.85;0.0
0x6191cb94a29a3ca870adea25cd72e995303c2848;Fortmatic DAO;0.0;0.0;0.0
0x63df13b12bac071ba31b6599b8d97c82cb96a768;The Illuminati;0.0;0.41;0.0
0x6bee9b81e434f7afce72a43a4016719315069539;Kyber DAO Exp#2;15.8;56.91;1564.53
0x70c36947837b43665ed5ea85c112aa0f72cf9fb3;Psychedelic Society DAO;0.0;0.0;0.0
0x8709962c7469fda4913ba8867964d7e592ec2c69;TuneDAO;0.0;0.0;0.0
0x8990e11b69403ea53ef2b32434bbd7dbf84b5234;FestDAO;604.26;124.0;1611.4
0xafdd1eb2511cd891acf2bff82dabf47e0c914d24;1UP;30.02;51.51;69.44
0xd358d4f159e6fae32d1b6096bdace829a5fe33fb;dOrg;0.0;0.0;4.39
0xe56b4d8d42b1c9ea7dda8a6950e3699755943de7;necDAO;3159.6;5707.58;0.0
0xf931ff012cbff471cccb90a784e3e88b512c890a;DetroitDAO;243.26;0.0;1146.9
